,İl Id,İl Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK 
0,1,ADANA, 1.526.827 , 1.313.501 , 1.285.873 , 460.752 , 125.894 , 567.605 , 119.498 , 9.799 , 2.325 
1,Oy Oranı, %35.83 , %9.79 , %44.14 , %9.29 , %0.76 , %0.18 ,,,,
2,2,ADIYAMAN, 399.766 , 345.346 , 336.654 , 68.852 , 11.492 , 226.926 , 24.949 , 3.906 , 529 
3,Oy Oranı, %20.45 , %3.41 , %67.4 , %7.41 , %1.16 , %0.15 ,,,,
4,3,AFYONKARAHİSAR, 507.706 , 459.173 , 445.461 , 84.026 , 51.951 , 303.088 , 1.589 , 3.878 , 929 
5,Oy Oranı, %18.86 , %11.66 , %68.03 , %0.35 , %0.87 , %0.2 ,,,,
6,4,AĞRI, 296.375 , 232.482 , 224.931 , 11.296 , 2.571 , 71.421 , 137.829 , 1.561 , 253 
7,Oy Oranı, %5.02 , %1.14 , %31.75 , %61.27 , %0.69 , %0.11 ,,,,
8,68,AKSARAY, 267.068 , 232.138 , 225.463 , 31.993 , 18.302 , 171.789 , 1.358 , 1.702 , 319 
9,Oy Oranı, %14.18 , %8.11 , %76.19 , %0.6 , %0.75 , %0.14 ,,,,
10,5,AMASYA, 246.896 , 225.545 , 219.408 , 67.894 , 22.279 , 126.075 , 842 , 1.936 , 382 
11,Oy Oranı, %30.94 , %10.15 , %57.46 , %0.38 , %0.88 , %0.17 ,,,,
12,6,ANKARA, 3.909.586 , 3.492.366 , 3.429.877 , 1.242.587 , 310.129 , 1.767.006 , 70.752 , 32.295 , 7.108 
13,Oy Oranı, %36.22 , %9.04 , %51.51 , %2.06 , %0.94 , %0.2 ,,,,
14,7,ANTALYA, 1.683.522 , 1.468.892 , 1.438.596 , 558.047 , 193.973 , 616.021 , 58.956 , 8.581 , 3.018 
15,Oy Oranı, %38.79 , %13.48 , %42.82 , %4.09 , %0.59 , %0.2 ,,,,
16,75,ARDAHAN, 69.575 , 58.885 , 56.504 , 20.790 , 2.298 , 24.056 , 8.834 , 376 , 150 
17,Oy Oranı, %36.79 , %4.06 , %42.57 , %15.63 , %0.66 , %0.26 ,,,,
18,8,ARTVİN, 131.386 , 115.109 , 111.644 , 46.105 , 9.539 , 53.766 , 840 , 1.090 , 304 
19,Oy Oranı, %41.29 , %8.54 , %48.15 , %0.75 , %0.97 , %0.27 ,,,,
20,9,AYDIN, 816.894 , 726.302 , 707.398 , 312.871 , 79.685 , 268.628 , 40.882 , 3.138 , 2.194 
21,Oy Oranı, %44.22 , %11.26 , %37.97 , %5.77 , %0.44 , %0.31 ,,,,
22,10,BALIKESİR, 947.177 , 858.235 , 838.596 , 331.631 , 86.912 , 397.404 , 14.139 , 6.304 , 2.206 
23,Oy Oranı, %39.54 , %10.36 , %47.38 , %1.68 , %0.75 , %0.26 ,,,,
24,74,BARTIN, 146.984 , 128.658 , 122.454 , 36.979 , 8.340 , 74.091 , 693 , 1.903 , 448 
25,Oy Oranı, %30.19 , %6.81 , %60.5 , %0.56 , %1.55 , %0.36 ,,,,
26,72,BATMAN, 342.380 , 293.248 , 284.102 , 11.747 , 2.041 , 89.315 , 177.821 , 2.894 , 284 
27,Oy Oranı, %4.13 , %0.71 , %31.43 , %62.59 , %1.01 , %0.09 ,,,,
28,69,BAYBURT, 56.249 , 48.370 , 47.293 , 4.166 , 2.892 , 38.826 , 150 , 1.198 , 61 
29,Oy Oranı, %8.8 , %6.11 , %82.09 , %0.31 , %2.53 , %0.12 ,,,,
30,11,BİLECİK, 154.403 , 140.251 , 136.815 , 43.909 , 18.024 , 70.362 , 2.877 , 1.315 , 328 
31,Oy Oranı, %32.09 , %13.17 , %51.42 , %2.1 , %0.96 , %0.23 ,,,,
32,12,BİNGÖL, 181.265 , 147.241 , 140.903 , 9.726 , 2.462 , 93.965 , 33.066 , 1.473 , 211 
33,Oy Oranı, %6.9 , %1.74 , %66.68 , %23.46 , %1.04 , %0.14 ,,,,
34,13,BİTLİS, 198.961 , 165.831 , 160.160 , 10.056 , 3.676 , 80.462 , 64.097 , 1.645 , 224 
35,Oy Oranı, %6.27 , %2.29 , %50.23 , %40.02 , %1.02 , %0.13 ,,,,
36,14,BOLU, 223.121 , 199.720 , 194.734 , 45.393 , 16.616 , 128.314 , 1.585 , 2.367 , 459 
37,Oy Oranı, %23.31 , %8.53 , %65.89 , %0.81 , %1.21 , %0.23 ,,,,
38,15,BURDUR, 196.733 , 177.141 , 170.682 , 47.812 , 26.899 , 92.177 , 1.176 , 2.071 , 547 
39,Oy Oranı, %28.01 , %15.75 , %54 , %0.68 , %1.21 , %0.32 ,,,,
40,16,BURSA, 2.149.337 , 1.929.817 , 1.890.866 , 595.074 , 155.568 , 1.050.302 , 66.025 , 19.978 , 3.919 
41,Oy Oranı, %31.47 , %8.22 , %55.54 , %3.49 , %1.05 , %0.2 ,,,,
42,17,ÇANAKKALE, 407.273 , 371.086 , 363.003 , 158.944 , 43.208 , 152.222 , 6.045 , 1.573 , 1.011 
43,Oy Oranı, %43.78 , %11.9 , %41.93 , %1.66 , %0.43 , %0.27 ,,,,
44,18,ÇANKIRI, 134.311 , 118.132 , 114.567 , 14.153 , 11.342 , 87.457 , 274 , 1.132 , 209 
45,Oy Oranı, %12.35 , %9.89 , %76.33 , %0.23 , %0.98 , %0.18 ,,,,
46,19,ÇORUM, 391.400 , 356.077 , 346.045 , 91.897 , 25.477 , 223.431 , 1.609 , 2.991 , 640 
47,Oy Oranı, %26.55 , %7.36 , %64.56 , %0.46 , %0.86 , %0.18 ,,,,
48,20,DENİZLİ, 749.055 , 682.583 , 664.136 , 235.101 , 91.808 , 317.608 , 14.243 , 3.645 , 1.731 
49,Oy Oranı, %35.39 , %13.82 , %47.82 , %2.14 , %0.54 , %0.26 ,,,,
50,21,DİYARBAKIR, 1.024.929 , 857.585 , 830.668 , 51.311 , 8.432 , 227.478 , 534.414 , 8.030 , 1.003 
51,Oy Oranı, %6.17 , %1.01 , %27.38 , %64.33 , %0.96 , %0.12 ,,,,
52,81,DÜZCE, 268.337 , 244.417 , 238.267 , 44.118 , 14.727 , 173.965 , 2.256 , 2.607 , 594 
53,Oy Oranı, %18.51 , %6.18 , %73.01 , %0.94 , %1.09 , %0.24 ,,,,
54,22,EDİRNE, 311.104 , 275.220 , 268.191 , 149.229 , 27.817 , 84.216 , 4.493 , 1.716 , 720 
55,Oy Oranı, %55.64 , %10.37 , %31.4 , %1.67 , %0.63 , %0.26 ,,,,
56,23,ELAZIĞ, 412.412 , 349.660 , 339.752 , 52.963 , 21.322 , 237.766 , 21.973 , 5.337 , 391 
57,Oy Oranı, %15.58 , %6.27 , %69.98 , %6.46 , %1.57 , %0.11 ,,,,
58,24,ERZİNCAN, 162.532 , 146.389 , 143.014 , 45.006 , 7.913 , 86.673 , 1.803 , 1.415 , 204 
59,Oy Oranı, %31.46 , %5.53 , %60.6 , %1.26 , %0.98 , %0.14 ,,,,
60,25,ERZURUM, 494.291 , 431.146 , 420.304 , 41.516 , 27.761 , 303.995 , 40.567 , 5.971 , 494 
61,Oy Oranı, %9.87 , %6.6 , %72.32 , %9.65 , %1.42 , %0.11 ,,,,
62,26,ESKİŞEHİR, 646.221 , 575.173 , 564.085 , 231.691 , 54.571 , 262.192 , 9.914 , 4.427 , 1.290 
63,Oy Oranı, %41.07 , %9.67 , %46.48 , %1.75 , %0.78 , %0.22 ,,,,
64,27,GAZİANTEP, 1.216.402 , 1.039.421 , 1.016.520 , 221.237 , 54.209 , 649.868 , 80.303 , 8.955 , 1.948 
65,Oy Oranı, %21.76 , %5.33 , %63.93 , %7.89 , %0.88 , %0.19 ,,,,
66,28,GİRESUN, 334.730 , 290.305 , 281.549 , 72.183 , 23.729 , 181.383 , 760 , 2.840 , 654 
67,Oy Oranı, %25.63 , %8.42 , %64.42 , %0.26 , %1 , %0.23 ,,,,
68,29,GÜMÜŞHANE, 100.853 , 80.728 , 78.395 , 10.049 , 6.291 , 60.421 , 259 , 1.266 , 109 
69,Oy Oranı, %12.81 , %8.02 , %77.07 , %0.33 , %1.61 , %0.13 ,,,,
70,30,HAKKARİ, 168.438 , 140.389 , 136.060 , 6.589 , 1.414 , 31.010 , 96.357 , 566 , 124 
71,Oy Oranı, %4.84 , %1.03 , %22.79 , %70.81 , %0.41 , %0.09 ,,,,
72,31,HATAY, 1.042.335 , 925.493 , 908.740 , 388.608 , 51.252 , 441.079 , 21.000 , 5.452 , 1.349 
73,Oy Oranı, %42.76 , %5.63 , %48.53 , %2.31 , %0.59 , %0.14 ,,,,
74,76,IĞDIR, 119.735 , 93.329 , 90.725 , 16.182 , 5.839 , 27.237 , 40.928 , 407 , 132 
75,Oy Oranı, %17.83 , %6.43 , %30.02 , %45.11 , %0.44 , %0.14 ,,,,
76,32,ISPARTA, 312.990 , 278.930 , 270.892 , 66.053 , 40.053 , 159.072 , 2.053 , 2.968 , 693 
77,Oy Oranı, %24.38 , %14.78 , %58.72 , %0.75 , %1.09 , %0.25 ,,,,
78,34,İSTANBUL, 10.573.543 , 9.304.620 , 9.156.889 , 3.378.032 , 435.549 , 4.578.526 , 661.774 , 86.145 , 16.863 
79,Oy Oranı, %36.89 , %4.75 , %50 , %7.22 , %0.94 , %0.18 ,,,,
80,35,İZMİR, 3.232.369 , 2.880.900 , 2.827.998 , 1.527.271 , 178.186 , 930.925 , 170.574 , 12.987 , 8.055 
81,Oy Oranı, %54 , %6.3 , %32.91 , %6.03 , %0.45 , %0.28 ,,,,
82,46,KAHRAMANMARAŞ, 739.457 , 661.205 , 646.682 , 96.601 , 54.805 , 479.723 , 7.634 , 6.990 , 929 
83,Oy Oranı, %14.93 , %8.47 , %74.18 , %1.18 , %1.08 , %0.14 ,,,,
84,78,KARABÜK, 176.018 , 154.412 , 149.273 , 34.662 , 13.836 , 97.688 , 688 , 1.967 , 432 
85,Oy Oranı, %23.22 , %9.26 , %65.44 , %0.46 , %1.31 , %0.28 ,,,,
86,70,KARAMAN, 173.867 , 156.835 , 152.399 , 30.114 , 18.147 , 100.977 , 902 , 1.891 , 368 
87,Oy Oranı, %19.75 , %11.9 , %66.25 , %0.59 , %1.24 , %0.24 ,,,,
88,36,KARS, 182.194 , 147.680 , 143.055 , 32.027 , 7.979 , 63.139 , 38.910 , 748 , 252 
89,Oy Oranı, %22.38 , %5.57 , %44.13 , %27.19 , %0.52 , %0.17 ,,,,
90,37,KASTAMONU, 285.917 , 249.172 , 239.977 , 47.562 , 23.614 , 165.469 , 783 , 1.815 , 734 
91,Oy Oranı, %19.81 , %9.84 , %68.95 , %0.32 , %0.75 , %0.3 ,,,,
92,38,KAYSERİ, 954.408 , 864.729 , 845.322 , 157.336 , 75.921 , 594.346 , 6.875 , 9.587 , 1.257 
93,Oy Oranı, %18.61 , %8.98 , %70.31 , %0.81 , %1.13 , %0.14 ,,,,
94,71,KIRIKKALE, 199.395 , 173.871 , 169.432 , 36.789 , 19.705 , 110.063 , 728 , 1.821 , 326 
95,Oy Oranı, %21.71 , %11.63 , %64.95 , %0.42 , %1.07 , %0.19 ,,,,
96,39,KIRKLARELİ, 273.082 , 246.467 , 241.602 , 141.190 , 23.507 , 72.088 , 3.382 , 823 , 612 
97,Oy Oranı, %58.43 , %9.72 , %29.83 , %1.39 , %0.34 , %0.25 ,,,,
98,40,KIRŞEHİR, 166.167 , 143.381 , 139.302 , 39.413 , 17.102 , 77.548 , 3.831 , 1.151 , 257 
99,Oy Oranı, %28.29 , %12.27 , %55.66 , %2.75 , %0.82 , %0.18 ,,,,
100,79,KİLİS, 86.080 , 75.136 , 73.289 , 13.920 , 6.319 , 51.365 , 890 , 626 , 169 
101,Oy Oranı, %18.99 , %8.62 , %70.08 , %1.21 , %0.85 , %0.23 ,,,,
102,41,KOCAELİ, 1.336.401 , 1.198.834 , 1.174.469 , 329.669 , 84.029 , 690.932 , 50.808 , 17.137 , 1.894 
103,Oy Oranı, %28.06 , %7.15 , %58.82 , %4.32 , %1.45 , %0.16 ,,,,
104,42,KONYA, 1.505.540 , 1.341.864 , 1.309.777 , 179.206 , 107.978 , 971.897 , 29.736 , 18.942 , 2.018 
105,Oy Oranı, %13.68 , %8.24 , %74.2 , %2.27 , %1.44 , %0.15 ,,,,
106,43,KÜTAHYA, 422.653 , 385.877 , 375.477 , 62.115 , 37.824 , 268.636 , 1.210 , 4.950 , 742 
107,Oy Oranı, %16.54 , %10.07 , %71.54 , %0.32 , %1.31 , %0.19 ,,,,
108,44,MALATYA, 555.931 , 487.136 , 477.273 , 109.476 , 20.858 , 330.401 , 10.504 , 5.481 , 553 
109,Oy Oranı, %22.93 , %4.37 , %69.22 , %2.2 , %1.14 , %0.11 ,,,,
110,45,MANİSA, 1.046.410 , 953.754 , 928.074 , 321.465 , 102.440 , 451.146 , 45.112 , 5.679 , 2.232 
111,Oy Oranı, %34.63 , %11.03 , %48.61 , %4.86 , %0.61 , %0.24 ,,,,
112,47,MARDİN, 471.225 , 396.354 , 387.621 , 20.825 , 3.106 , 133.375 , 227.729 , 2.342 , 244 
113,Oy Oranı, %5.37 , %0.8 , %34.4 , %58.75 , %0.6 , %0.06 ,,,,
114,33,MERSİN, 1.272.836 , 1.124.733 , 1.100.692 , 412.055 , 133.268 , 417.495 , 130.648 , 5.120 , 2.106 
115,Oy Oranı, %37.43 , %12.1 , %37.93 , %11.86 , %0.46 , %0.19 ,,,,
116,48,MUĞLA, 725.909 , 643.113 , 628.693 , 330.712 , 74.226 , 202.037 , 17.589 , 2.088 , 2.041 
117,Oy Oranı, %52.6 , %11.8 , %32.13 , %2.79 , %0.33 , %0.32 ,,,,
118,49,MUŞ, 228.826 , 189.545 , 183.705 , 10.939 , 2.705 , 70.612 , 97.855 , 1.384 , 210 
119,Oy Oranı, %5.95 , %1.47 , %38.43 , %53.26 , %0.75 , %0.11 ,,,,
120,50,NEVŞEHİR, 210.901 , 189.162 , 184.287 , 40.002 , 15.649 , 125.450 , 954 , 1.856 , 376 
121,Oy Oranı, %21.7 , %8.49 , %68.07 , %0.51 , %1 , %0.2 ,,,,
122,51,NİĞDE, 240.315 , 210.889 , 204.963 , 51.373 , 23.419 , 126.270 , 1.254 , 2.073 , 574 
123,Oy Oranı, %25.06 , %11.42 , %61.6 , %0.61 , %1.01 , %0.28 ,,,,
124,52,ORDU, 558.478 , 484.283 , 467.571 , 121.361 , 35.402 , 304.536 , 1.419 , 3.670 , 1.183 
125,Oy Oranı, %25.95 , %7.57 , %65.13 , %0.3 , %0.78 , %0.25 ,,,,
126,80,OSMANİYE, 358.510 , 308.674 , 299.924 , 67.034 , 34.495 , 188.896 , 6.550 , 2.333 , 616 
127,Oy Oranı, %22.35 , %11.5 , %62.98 , %2.18 , %0.77 , %0.2 ,,,,
128,53,RİZE, 252.766 , 222.166 , 217.392 , 36.171 , 10.199 , 167.216 , 649 , 2.784 , 373 
129,Oy Oranı, %16.63 , %4.69 , %76.91 , %0.29 , %1.28 , %0.17 ,,,,
130,54,SAKARYA, 705.678 , 637.409 , 623.119 , 120.124 , 44.480 , 439.586 , 9.229 , 8.705 , 995 
131,Oy Oranı, %19.27 , %7.13 , %70.54 , %1.48 , %1.39 , %0.15 ,,,,
132,55,SAMSUN, 960.245 , 848.962 , 825.520 , 190.400 , 73.231 , 549.589 , 2.412 , 8.236 , 1.652 
133,Oy Oranı, %23.06 , %8.87 , %66.57 , %0.29 , %0.99 , %0.2 ,,,,
134,56,SİİRT, 180.215 , 151.611 , 146.916 , 8.242 , 2.083 , 62.878 , 72.324 , 1.239 , 150 
135,Oy Oranı, %5.61 , %1.41 , %42.79 , %49.22 , %0.84 , %0.1 ,,,,
136,57,SİNOP, 160.081 , 140.102 , 134.633 , 38.423 , 11.539 , 82.374 , 639 , 1.125 , 533 
137,Oy Oranı, %28.53 , %8.57 , %61.18 , %0.47 , %0.83 , %0.39 ,,,,
138,58,SİVAS, 450.597 , 404.328 , 394.669 , 78.184 , 24.215 , 284.958 , 1.325 , 5.443 , 544 
139,Oy Oranı, %19.81 , %6.13 , %72.2 , %0.33 , %1.37 , %0.13 ,,,,
140,63,ŞANLIURFA, 1.063.482 , 864.450 , 845.649 , 68.988 , 11.581 , 548.005 , 208.848 , 7.213 , 1.014 
141,Oy Oranı, %8.15 , %1.36 , %64.8 , %24.69 , %0.85 , %0.11 ,,,,
142,73,ŞIRNAK, 268.840 , 233.608 , 227.293 , 11.149 , 3.101 , 48.199 , 163.797 , 872 , 175 
143,Oy Oranı, %4.9 , %1.36 , %21.2 , %72.06 , %0.38 , %0.07 ,,,,
144,59,TEKİRDAĞ, 737.697 , 657.434 , 645.078 , 304.474 , 48.602 , 260.045 , 27.588 , 3.021 , 1.348 
145,Oy Oranı, %47.19 , %7.53 , %40.31 , %4.27 , %0.46 , %0.2 ,,,,
146,60,TOKAT, 424.187 , 382.514 , 372.384 , 94.319 , 31.891 , 240.436 , 1.274 , 3.836 , 628 
147,Oy Oranı, %25.32 , %8.56 , %64.56 , %0.34 , %1.03 , %0.16 ,,,,
148,61,TRABZON, 583.892 , 509.447 , 496.588 , 103.622 , 37.790 , 344.414 , 1.465 , 8.322 , 975 
149,Oy Oranı, %20.86 , %7.6 , %69.35 , %0.29 , %1.67 , %0.19 ,,,,
150,62,TUNCELİ, 64.299 , 55.519 , 54.195 , 31.478 , 970 , 10.117 , 11.455 , 95 , 80 
151,Oy Oranı, %58.08 , %1.78 , %18.66 , %21.13 , %0.17 , %0.14 ,,,,
152,64,UŞAK, 266.929 , 242.776 , 235.086 , 82.223 , 26.025 , 121.110 , 3.029 , 2.147 , 552 
153,Oy Oranı, %34.97 , %11.07 , %51.51 , %1.28 , %0.91 , %0.23 ,,,,
154,65,VAN, 639.730 , 530.038 , 513.256 , 23.260 , 4.767 , 181.858 , 299.653 , 3.177 , 541 
155,Oy Oranı, %4.53 , %0.92 , %35.43 , %58.38 , %0.61 , %0.1 ,,,,
156,77,YALOVA, 178.253 , 155.145 , 152.024 , 59.070 , 7.269 , 76.570 , 7.442 , 1.416 , 257 
157,Oy Oranı, %38.85 , %4.78 , %50.36 , %4.89 , %0.93 , %0.16 ,,,,
158,66,YOZGAT, 296.869 , 256.062 , 249.065 , 36.701 , 20.743 , 188.028 , 798 , 2.430 , 365 
159,Oy Oranı, %14.73 , %8.32 , %75.49 , %0.32 , %0.97 , %0.14 ,,,,
160,67,ZONGULDAK, 447.085 , 392.833 , 378.144 , 135.275 , 26.595 , 208.643 , 1.915 , 4.507 , 1.209 
161,Oy Oranı, %35.77 , %7.03 , %55.17 , %0.5 , %1.19 , %0.31 ,,,,
